"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0045596" "BP" "negative regulation of cell differentiation" 679 448 2.19145682629285e-06 0.000174728027662444
"GO:0048864" "BP" "stem cell development" 87 74 2.29585311019035e-06 0.000182407146402588
"GO:0021536" "BP" "diencephalon development" 73 63 2.40170874391684e-06 0.00019014791613242
"GO:0051216" "BP" "cartilage development" 200 151 2.56063732939183e-06 0.000202021750700689
"GO:0045937" "BP" "positive regulation of phosphate metabolic process" 686 450 2.70710073229041e-06 0.000211359933991006
"GO:0010562" "BP" "positive regulation of phosphorus metabolic process" 686 450 2.70710073229041e-06 0.000211359933991006
"GO:0001656" "BP" "metanephros development" 91 77 2.81651264275532e-06 0.000219144107831487
"GO:0030856" "BP" "regulation of epithelial cell differentiation" 168 124 2.84378230213064e-06 0.000220505511564522
"GO:0032970" "BP" "regulation of actin filament-based process" 360 254 2.90877563861348e-06 0.000224772649005735
"GO:0002064" "BP" "epithelial cell development" 203 152 3.25949305552533e-06 0.000248470274678627
"GO:0014032" "BP" "neural crest cell development" 81 69 3.75690891923691e-06 0.000285423881662161
"GO:0007492" "BP" "endoderm development" 80 68 3.9149192008107e-06 0.000296430324990243
"GO:0006814" "BP" "sodium ion transport" 235 169 4.03230628498054e-06 0.000303283196714336
"GO:0010975" "BP" "regulation of neuron projection development" 427 307 4.12243518519448e-06 0.000309031985112054
"GO:0007160" "BP" "cell-matrix adhesion" 231 169 4.218144778957e-06 0.00031515966487545
"GO:0140352" "BP" "export from cell" 862 554 4.23263939942522e-06 0.000315198928741355
"GO:0032940" "BP" "secretion by cell" 790 512 4.26632823413548e-06 0.000316662599588924
"GO:0045664" "BP" "regulation of neuron differentiation" 189 146 4.38229584032195e-06 0.000321868180748884
"GO:0060993" "BP" "kidney morphogenesis" 93 78 4.39352063777062e-06 0.000321868180748884
"GO:0006897" "BP" "endocytosis" 677 442 5.54648949435031e-06 0.000402414755467911
"GO:0043410" "BP" "positive regulation of MAPK cascade" 455 302 5.68636384264688e-06 0.000410958267094047
