"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0001101" "BP" "response to acid chemical" 129 25 0.367879865898344 1
"GO:0001109" "BP" "promoter clearance during DNA-templated transcription" 3 0 1 1
"GO:0001111" "BP" "RNA polymerase II promoter clearance" 3 0 1 1
"GO:0001112" "BP" "DNA-templated transcription open complex formation" 2 0 1 1
"GO:0001113" "BP" "transcription open complex formation at RNA polymerase II promoter" 1 0 0.999999999962358 1
"GO:0001120" "BP" "protein-DNA complex remodeling" 2 0 1 1
"GO:0001172" "BP" "RNA-templated transcription" 3 0 1 1
"GO:0001173" "BP" "DNA-templated transcriptional start site selection" 2 0 1 1
"GO:0001174" "BP" "transcriptional start site selection at RNA polymerase II promoter" 2 0 1 1
"GO:0001178" "BP" "regulation of transcriptional start site selection at RNA polymerase II promoter" 1 0 0.999999999963357 1
"GO:0001188" "BP" "RNA polymerase I preinitiation complex assembly" 8 4 0.0258327175543408 0.786915655579054
"GO:0001192" "BP" "maintenance of transcriptional fidelity during transcription elongation" 1 0 0.99999999996796 1
"GO:0001193" "BP" "maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II" 1 0 0.99999999996796 1
"GO:0001325" "BP" "formation of extrachromosomal circular DNA" 13 0 1 1
"GO:0001408" "BP" "guanine nucleotide transport" 8 2 0.411388420280703 1
"GO:0001501" "BP" "skeletal system development" 511 147 1.1012061613389e-07 8.28253860815032e-05
"GO:0001502" "BP" "cartilage condensation" 19 6 0.127604775291775 1
"GO:0001503" "BP" "ossification" 423 94 0.0308755465154082 0.838198626146097
"GO:0001504" "BP" "neurotransmitter uptake" 44 12 0.169723391132746 1
"GO:0001505" "BP" "regulation of neurotransmitter levels" 180 41 0.189560453977881 1
"GO:0001507" "BP" "acetylcholine catabolic process in synaptic cleft" 2 1 0.365711876148093 1
"GO:0001508" "BP" "action potential" 139 34 0.0597632923361921 1
"GO:0001510" "BP" "RNA methylation" 87 5 0.989063932736701 1
"GO:0001514" "BP" "selenocysteine incorporation" 10 0 1 1
"GO:0001516" "BP" "prostaglandin biosynthetic process" 31 7 0.0525659029942905 0.981421755588041
"GO:0001519" "BP" "peptide amidation" 2 0 1 1
"GO:0001522" "BP" "pseudouridine synthesis" 17 0 1 1
"GO:0001523" "BP" "retinoid metabolic process" 82 12 0.315116314525254 1
"GO:0001525" "BP" "angiogenesis" 581 143 2.69902118839818e-06 0.00119413164892189
"GO:0001539" "BP" "cilium or flagellum-dependent cell motility" 153 20 0.656476952810773 1
"GO:0001541" "BP" "ovarian follicle development" 54 12 0.121488844453269 1
"GO:0001542" "BP" "ovulation from ovarian follicle" 8 2 0.385474050577724 1
"GO:0001543" "BP" "ovarian follicle rupture" 1 0 1.00000000001095 1
"GO:0001544" "BP" "initiation of primordial ovarian follicle growth" 1 0 0.999999999985346 1
"GO:0001545" "BP" "primary ovarian follicle growth" 1 1 0.278218675669836 1
"GO:0001546" "BP" "preantral ovarian follicle growth" 3 0 1 1
"GO:0001547" "BP" "antral ovarian follicle growth" 11 2 0.430908467541547 1
"GO:0001549" "BP" "cumulus cell differentiation" 2 0 1 1
"GO:0001550" "BP" "ovarian cumulus expansion" 4 0 1 1
"GO:0001552" "BP" "ovarian follicle atresia" 1 0 0.999999999974056 1
"GO:0001553" "BP" "luteinization" 12 4 0.13647667255936 1
"GO:0001554" "BP" "luteolysis" 6 1 0.786952584096781 1
"GO:0001555" "BP" "oocyte growth" 4 1 0.470336978719437 1
"GO:0001556" "BP" "oocyte maturation" 33 7 0.199334761248169 1
"GO:0001558" "BP" "regulation of cell growth" 393 76 0.453517234792108 1
"GO:0001560" "BP" "regulation of cell growth by extracellular stimulus" 3 1 0.611109937231005 1
"GO:0001561" "BP" "fatty acid alpha-oxidation" 8 2 0.226044151649667 1
"GO:0001562" "BP" "response to protozoan" 28 5 0.368423708610627 1
"GO:0001568" "BP" "blood vessel development" 754 187 1.4692964826771e-07 0.000104567831124614
"GO:0001569" "BP" "branching involved in blood vessel morphogenesis" 35 14 0.00499189345327781 0.368095045358694
"GO:0001570" "BP" "vasculogenesis" 80 21 0.0648560542518032 1
"GO:0001572" "BP" "lactosylceramide biosynthetic process" 2 0 1 1
"GO:0001573" "BP" "ganglioside metabolic process" 28 1 0.997711200367377 1
"GO:0001574" "BP" "ganglioside biosynthetic process" 17 1 0.980666268378425 1
"GO:0001575" "BP" "globoside metabolic process" 2 0 1 1
"GO:0001576" "BP" "globoside biosynthetic process" 2 0 1 1
"GO:0001578" "BP" "microtubule bundle formation" 119 19 0.578768542799304 1
"GO:0001579" "BP" "medium-chain fatty acid transport" 2 0 1 1
"GO:0001580" "BP" "detection of chemical stimulus involved in sensory perception of bitter taste" 35 1 0.871702236457927 1
"GO:0001581" "BP" "detection of chemical stimulus involved in sensory perception of sour taste" 2 0 1 1
"GO:0001582" "BP" "detection of chemical stimulus involved in sensory perception of sweet taste" 2 1 0.332007678637879 1
"GO:0001649" "BP" "osteoblast differentiation" 248 49 0.300615692521806 1
"GO:0001654" "BP" "eye development" 382 97 0.00156293814474872 0.172513457223112
"GO:0001655" "BP" "urogenital system development" 66 15 0.351356269194525 1
"GO:0001656" "BP" "metanephros development" 91 23 0.21423838557858 1
"GO:0001657" "BP" "ureteric bud development" 94 31 0.0106865482588012 0.527142305701689
"GO:0001658" "BP" "branching involved in ureteric bud morphogenesis" 56 17 0.0908721633873001 1
"GO:0001659" "BP" "temperature homeostasis" 181 51 0.00202986521349516 0.207248319806809
"GO:0001660" "BP" "fever generation" 11 2 0.656011448491564 1
