"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0001543" "BP" "ovarian follicle rupture" 1 0 1 1
"GO:0001544" "BP" "initiation of primordial ovarian follicle growth" 1 0 1 1
"GO:0001545" "BP" "primary ovarian follicle growth" 1 1 0.691212144006913 1
"GO:0001546" "BP" "preantral ovarian follicle growth" 3 1 0.856230465870137 1
"GO:0001547" "BP" "antral ovarian follicle growth" 11 5 0.745622700275503 1
"GO:0001549" "BP" "cumulus cell differentiation" 2 1 0.708360663031952 1
"GO:0001550" "BP" "ovarian cumulus expansion" 4 1 0.921415993576765 1
"GO:0001552" "BP" "ovarian follicle atresia" 1 0 1 1
"GO:0001553" "BP" "luteinization" 12 9 0.181341452293594 0.970538076269606
"GO:0001554" "BP" "luteolysis" 6 4 0.612015524135715 1
"GO:0001555" "BP" "oocyte growth" 4 1 0.952313941755541 1
"GO:0001556" "BP" "oocyte maturation" 33 15 0.866555661457579 1
"GO:0001558" "BP" "regulation of cell growth" 393 261 0.00197082179813115 0.0528770785410597
"GO:0001560" "BP" "regulation of cell growth by extracellular stimulus" 3 2 0.762803087369736 1
"GO:0001561" "BP" "fatty acid alpha-oxidation" 8 5 0.345040451134526 1
"GO:0001562" "BP" "response to protozoan" 28 19 0.0709853485139329 0.63157468046101
"GO:0001568" "BP" "blood vessel development" 754 528 1.30290127393334e-13 5.06873523190204e-11
"GO:0001569" "BP" "branching involved in blood vessel morphogenesis" 35 30 0.00121702804285209 0.0366635791173758
"GO:0001570" "BP" "vasculogenesis" 80 61 0.0012389702466226 0.0371756976659472
"GO:0001572" "BP" "lactosylceramide biosynthetic process" 2 2 0.237861132337138 1
"GO:0001573" "BP" "ganglioside metabolic process" 28 17 0.547465636075188 1
"GO:0001574" "BP" "ganglioside biosynthetic process" 17 13 0.149316628989289 0.897162142173953
"GO:0001575" "BP" "globoside metabolic process" 2 2 0.440391505288427 1
"GO:0001576" "BP" "globoside biosynthetic process" 2 2 0.440391505288427 1
"GO:0001578" "BP" "microtubule bundle formation" 119 77 0.0360531149267198 0.419188957751985
"GO:0001579" "BP" "medium-chain fatty acid transport" 2 0 1 1
"GO:0001580" "BP" "detection of chemical stimulus involved in sensory perception of bitter taste" 35 9 0.920289041558935 1
"GO:0001581" "BP" "detection of chemical stimulus involved in sensory perception of sour taste" 2 1 0.643464818089823 1
"GO:0001582" "BP" "detection of chemical stimulus involved in sensory perception of sweet taste" 2 2 0.361763840104847 1
"GO:0001649" "BP" "osteoblast differentiation" 248 166 0.00273828235732573 0.0684237022266864
"GO:0001654" "BP" "eye development" 382 282 1.26255347613135e-09 2.07943479090714e-07
"GO:0001655" "BP" "urogenital system development" 66 52 0.00160369505303823 0.0454595165537118
"GO:0001656" "BP" "metanephros development" 91 77 2.81651264275532e-06 0.000219144107831487
"GO:0001657" "BP" "ureteric bud development" 94 83 4.27581638488398e-08 4.94766773889858e-06
"GO:0001658" "BP" "branching involved in ureteric bud morphogenesis" 56 49 4.37377325451452e-05 0.00238958401246648
"GO:0001659" "BP" "temperature homeostasis" 181 124 0.00874760588049867 0.162587297436221
"GO:0001660" "BP" "fever generation" 11 9 0.112582263204206 0.791920216293743
"GO:0001661" "BP" "conditioned taste aversion" 3 2 0.665412080127516 1
"GO:0001662" "BP" "behavioral fear response" 36 23 0.412001549284281 1
"GO:0001666" "BP" "response to hypoxia" 282 196 7.16372203874233e-05 0.00365661449941179
